"pergunta","resposta","tag","suporte"
"1. O que é assinatura digital e como ela se equipara à assinatura física, conforme apresentado no Assina@UFVJM?","Assinatura digital é uma modalidade de assinatura eletrônica equivalente à assinatura física, que comprova a autoria e integridade de um documento digital, sendo gerada a partir do uso do Certificado Digital ICP-Edu, o que assegura seu valor jurídico.","assinatura",1
"2. Qual a finalidade do certificado digital e como ele é utilizado no contexto do Assina@UFVJM?","O certificado digital funciona como um documento eletrônico que serve como identidade virtual, validando o usuário em diversos procedimentos digitais, como a assinatura eletrônica realizada pelo Assina@UFVJM.","assinatura",1
"3. Qual o certificado digital utilizado pelo Assina@UFVJM e quem é o responsável por emiti-lo?","O Assina@UFVJM utiliza o certificado digital ICP-Edu, que é emitido pela RNP (Rede Nacional de Ensino e Pesquisa).","assinatura",1
"4. Quem pode utilizar o serviço Assina@UFVJM e qual requisito é necessário para o cadastro?","O serviço pode ser utilizado por alunos, professores e servidores que tenham vínculo com a UFVJM e possuam uma conta institucional ativa.","assinatura",1
"5. Quais são as duas formas de assinatura oferecidas pelo sistema e o que cada uma comprova?","São oferecidas duas formas: a “assinatura”, onde o usuário concorda com o teor do documento gerando uma marca com nome, CPF, data e hora; e a “autenticação”, que, além desses dados, valida a originalidade e veracidade do documento.","assinatura",1
"6. Como a marca de identificação é gerada na assinatura digital realizada pelo Assina@UFVJM?","A marca é gerada por meio do certificado digital do usuário e contém informações como nome, CPF, data e hora da assinatura.","assinatura",1
"7. Por que o Certificado Digital ICP-Edu é fundamental para a assinatura digital no Assina@UFVJM?","Porque o ICP-Edu garante o valor jurídico da assinatura digital, autenticando a identidade do usuário e assegurando a integridade do documento.","assinatura",1
"8. Quais são os principais passos para realizar o cadastro no sistema Assina@UFVJM?","Os passos são: acessar o assinador pelo link, clicar em “Realizar Cadastro”, preencher os campos solicitados (endereço de e-mail, conta institucional e senha institucional) e clicar em “Registre-se”.","assinatura",1
"9. Quais informações o usuário deve fornecer ao preencher o formulário de cadastro?","Deve ser informado o endereço de e-mail, a conta institucional (sem o “@ufvjm.edu.br”) e a senha institucional utilizada no sistema e-Campus.","assinatura",1
"10. Como o usuário deve proceder para acessar o sistema após concluir o cadastro?","Após o cadastro, o usuário deve inserir sua conta institucional e senha na tela de login e clicar em “Entrar”.","assinatura",1
"11. Quais são as etapas para adicionar o Certificado Digital ICP-Edu no Assina@UFVJM?","Ao acessar o sistema pela primeira vez, o usuário deve clicar em “Cadastrar certificado”, depois em “Adicionar certificado”, escolher o arquivo do certificado (extensão .pfx ou .p12), inserir a senha do certificado e clicar em “Adicionar”.","assinatura",1
"12. Quais extensões de arquivo são aceitas para o certificado digital durante o cadastro?","São aceitas as extensões .pfx e .p12.","assinatura",1
"13. O que deve ser feito se o usuário ainda não possui o Certificado Digital ICP-Edu?","O usuário deve acessar o portal da ICP-Edu pelo link (https://pessoal.icpedu.rnp.br/home), fazer login utilizando seus dados institucionais e seguir os passos para a emissão do certificado.","assinatura",1
"14. Quais são os passos necessários para assinar um documento usando o Assina@UFVJM?","É preciso selecionar o arquivo em formato PDF (preferencialmente PDF/A), inserir a senha do certificado digital, selecionar o tipo de assinatura desejada (assinatura ou autenticação), escolher a posição da assinatura no documento e clicar em “Assinar digitalmente”.","assinatura",1
"15. Por que é recomendado utilizar o formato PDF/A para os documentos a serem assinados digitalmente?","Porque o PDF/A atende à legislação, garantindo a preservação e validade jurídica do documento.","assinatura",1
"16. Como o usuário confirma sua identidade ao inserir a senha do certificado digital?","Ao inserir a senha, o sistema valida o certificado digital do usuário, confirmando sua autenticidade e permitindo a assinatura do documento.","assinatura",1
"17. Quais informações compõem a marca de assinatura exibida no documento assinado?","A marca de assinatura contém o nome, CPF, data e hora da assinatura.","assinatura",1
"18. Qual é a diferença entre as opções “assinatura” e “autenticação” oferecidas pelo sistema?","Na opção “assinatura”, o usuário apenas concorda com o documento gerando sua marca de identificação; já na “autenticação”, o documento também é validado como original e verdadeiro.","assinatura",1
"19. Em que consiste o procedimento de autenticação de um documento no Assina@UFVJM?","Consiste em selecionar o arquivo PDF, inserir a senha do certificado digital, escolher a opção de autenticação, selecionar a posição da assinatura e efetivar a assinatura digital, validando o documento como original.","assinatura",1
"20. Que informação adicional é incluída na marca de autenticação em comparação à assinatura convencional?","A marca de autenticação inclui, além dos dados básicos, a validação expressa pelo texto “Confere com original, cópia extraída de documento original de acordo com o art 5º do Decreto nº 83.936/79”.","assinatura",1
"21. Como o verificador de assinatura da UFVJM confirma a validade de um documento assinado digitalmente?","O verificador permite ao usuário selecionar o documento (em PDF ou PDF/A) e, se a assinatura foi realizada com o certificado ICP-Edu, exibe uma mensagem positiva indicando que o documento foi assinado digitalmente.","assinatura",1
"22. Quais formatos de arquivo são aceitos pelo Verificador de Assinaturas da UFVJM?","São aceitos os formatos PDF e PDF/A.","assinatura",1
"23. O que significa a mensagem “Este documento foi assinado digitalmente” apresentada pelo verificador?","Significa que o documento possui uma assinatura digital válida, realizada com o certificado digital ICP-Edu, comprovando sua autenticidade.","assinatura",1
"24. Qual mensagem é exibida quando o documento não possui assinatura ou utiliza um certificado não reconhecido?","É apresentada uma mensagem de erro informando que o arquivo não possui uma assinatura válida ou que o certificado utilizado não é aceito.","assinatura",1
